2026-03-21 21:07:45 | INFO | application.py:148 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"/home/junsheng/.copaw/workspaces/default","enable_logo":false,"language":"","thread_pool_max_workers":16,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"as_llms":{"default":{"backend":"openai","model_name":"qwen3.5-plus"}},"as_llm_formatters":{"default":{"backend":"openai"}},"as_token_counters":{"default":{"backend":"rule","token_count_estimate_divisor":3.75}},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"use_dimensions":false,"enable_cache":true,"max_batch_size":10,"max_cache_size":2000,"max_input_length":8192,"api_key":"","base_url":""}},"vector_stores":{},"file_stores":{"default":{"backend":"chroma","embedding_model":"default","store_name":"copaw","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["/home/junsheng/.copaw/workspaces/default/MEMORY.md","/home/junsheng/.copaw/workspaces/default/memory.md","/home/junsheng/.copaw/workspaces/default/memory"],"suffix_filters":[".md"],"recursive":false,"scan_on_start":true}},"metadata":{}}
2026-03-21 21:07:45 | INFO | base_embedding_model.py:158 | _load_cache | No cache file found at /home/junsheng/.copaw/workspaces/default/embedding_cache/embedding_cache.jsonl, starting with empty cache
2026-03-21 21:07:45 | INFO | chroma_file_store.py:135 | start | ChromaDB initialized with collection: chunks_copaw
2026-03-21 21:07:45 | INFO | chroma_file_store.py:136 | start | File metadata will be persisted to: /home/junsheng/.copaw/workspaces/default/copaw_file_metadata.json
2026-03-21 21:07:45 | INFO | chroma_file_store.py:623 | clear_all | Cleared all data from ChromaDB collection: chunks_copaw
2026-03-21 21:07:45 | INFO | base_file_watcher.py:84 | start | Cleared all indexed data on start
2026-03-21 21:07:45 | WARNING | base_file_watcher.py:125 | _scan_existing_files | Watch path does not exist: /home/junsheng/.copaw/workspaces/default/memory.md
2026-03-21 21:07:45 | INFO | base_file_watcher.py:146 | _scan_existing_files | [SCAN_ON_START] Found 1 existing files matching watch criteria
2026-03-21 21:07:45 | INFO | full_file_watcher.py:66 | _on_changes | delete_file /home/junsheng/.copaw/workspaces/default/MEMORY.md
2026-03-21 21:07:45 | INFO | full_file_watcher.py:69 | _on_changes | Upserted 1 chunks for /home/junsheng/.copaw/workspaces/default/MEMORY.md
2026-03-21 21:07:45 | INFO | full_file_watcher.py:78 | _on_changes | File 1 changed: /home/junsheng/.copaw/workspaces/default/MEMORY.md
2026-03-21 21:07:45 | INFO | base_file_watcher.py:221 | on_changes | [FullFileWatcher] on_changes: {(<Change.added: 1>, '/home/junsheng/.copaw/workspaces/default/MEMORY.md')}
2026-03-21 21:07:45 | INFO | base_file_watcher.py:148 | _scan_existing_files | [SCAN_ON_START] Added 1 files to memory store
2026-03-21 21:07:45 | INFO | base_file_watcher.py:156 | _scan_existing_files | Found existing file: /home/junsheng/.copaw/workspaces/default/MEMORY.md, 1 chunks
2026-03-21 21:07:45 | INFO | base_file_watcher.py:91 | start | Started watching: ['/home/junsheng/.copaw/workspaces/default/MEMORY.md', '/home/junsheng/.copaw/workspaces/default/memory.md', '/home/junsheng/.copaw/workspaces/default/memory']
2026-03-21 21:07:45 | INFO | application.py:266 | start | ReMe Application started
2026-03-21 21:07:45 | WARNING | base_file_watcher.py:182 | _watch_loop | Skipping non-existent paths: {'/home/junsheng/.copaw/workspaces/default/memory.md'}
2026-03-21 21:07:45 | INFO | base_file_watcher.py:185 | _watch_loop | Starting watch on valid paths: ['/home/junsheng/.copaw/workspaces/default/MEMORY.md', '/home/junsheng/.copaw/workspaces/default/memory']
2026-03-21 21:47:40 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000037s ==========
2026-03-21 21:47:40 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000117s ==========
2026-03-21 21:47:40 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000016s ==========
2026-03-21 21:47:40 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000066s ==========
2026-03-21 21:49:15 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000024s ==========
2026-03-21 21:49:15 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000122s ==========
2026-03-21 21:49:15 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000016s ==========
2026-03-21 21:49:15 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000090s ==========
2026-03-21 21:51:43 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000029s ==========
2026-03-21 21:51:43 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000172s ==========
2026-03-21 21:51:43 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000030s ==========
2026-03-21 21:51:43 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000118s ==========
2026-03-21 22:02:47 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000034s ==========
2026-03-21 22:02:47 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000540s ==========
2026-03-21 22:02:47 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000015s ==========
